RowID,Position,Tier,TierPrefix,TieirDepth,DoD,Performance,CriteriaGroup,CriteriaTopic,CriteriaRef,Criteria,Progress,ToDoFlag,Notes,LinkedRef
2,1,Outcome,LO,1,Planned,Pass,LO1,Program Design,1.0.0,LO1: Implement a given algorithm as a computer program,TODO,0,,1.1.0;1.1.1;1.1.2
3,2,Criterion,LC,2,Planned,Pass,LO1,Program Design,1.1.0,LO1.1: Write Python code with no significant issues.,TODO,0,,1.0.0;1.1.1;1.1.2
4,3,Criterion,LC,2,,Pass,LO2,Program Design,1.1.1,LO1.1: Write Python code that passes through a linter (eg PEP8)with no significant issues.,,,,1.0.0;1.1.0;1.1.1
5,4,Criterion,LC,2,Planned,Pass,LO1,Program Design,1.2.0,LO1.2: Ensure all intended functionality works as per the critical project objectives,TODO,0,,
6,5,Criterion,LC,2,Planned,Pass,LO1,Program Design;Code Style Standards,1.3.0,"LO1.3: Write code that meets minimum standards for readability (comments, indentation, consistent and meaningful naming conventions).",TODO,0,,
7,6,Criterion,LC,3,Planned,Pass,LO1,Program Design;Code Style Standards,1.3.1,LO1.3.1 Code minimum standards for comments,TODO,,,
8,7,Criterion,LC,3,Planned,Pass,LO1,Program Design;Code Style Standards,1.3.2,LO1.3.2 Code minimum standards for indentation,TODO,,,
9,8,Criterion,LC,3,Planned,Pass,LO1,Program Design;Quality Standards,1.3.3,LO1.3.3 Code minimum standards for naming conventions that are consistent/meaningful,TODO,,,
10,9,Outcome,LO,1,Planned,Pass,LO2,Program Build,2.0.0,LO2: Adapted and combine algorithms to solve a given problem,TODO,0,,
11,10,Criterion,LC,2,Planned,Pass,LO2,Program Build; Data Validation,2.1.0,LO2.1: Write code that handles empty or invalid input data,TODO,0,,
12,11,Criterion,LC,3,Planned,Pass,LO2,Program Build; Data Validation,2.1.1,LO2.1.1: Write code that handles empty input data,TODO,0,,
13,12,Criterion,LC,3,Planned,Pass,LO2,Program Build; Data Validation,2.1.2,LO2.1.2: Write code that handles invalid input data,TODO,0,,
14,13,Criterion,LC,2,Planned,Pass,LO2,Program Build; Code Attribution,2.2.0,LO2.2: Clearly separate and identify code written for the application and the code from external sources (e.g. libraries or tutorials),TODO,0,,
15,14,Criterion,LC,3,Planned,Pass,LO2,Program Build; Code Attribution,2.2.1,LO2.2.1: Clearly separate code written for the application,TODO,0,,
16,15,Criterion,LC,3,Planned,Pass,LO2,Program Build; Code Attribution,2.2.2,LO2.2.2: Clearly identify code written for the application,TODO,0,,
17,16,Criterion,LC,3,Planned,Pass,LO2,Program Build; Code Attribution,2.2.3,LO2.2.3: Clearly separate code from external sources,TODO,0,,
18,17,Criterion,LC,3,Planned,Pass,LO2,Program Build; Code Attribution,2.2.4,LO2.2.4: Clearly identify code from external sources,TODO,0,,
19,18,Criterion,LC,2,Planned,Pass,LO2,Program Build; Code Organisation,2.3.0,LO2.3: Ensure a consistent flow of logic and data with well-defined granular functions,TODO,0,,2.3.1;2.3.2;2.3.3
20,19,Criterion,LC,3,Planned,Pass,LO2,Program Build; Code Organisation,2.3.1,LO2.3.1: Ensure a consistent flow of logic with well-defined granular functions,TODO,0,,2.3.0;2.3.2;2.3.3
21,20,Criterion,LC,3,Planned,Pass,LO2,Program Build; Code Organisation,2.3.2,LO2.3.2: Ensure a consistent flow of data with well defined granular functions,TODO,0,,2.3.0;2.3.1;2.3.3
22,21,Outcome,LO,1,Planned,Pass,LO3,Programming Constructs,3.0.0,"LO3: Adequately use standard programming constructs: repetition, selection, functions, composition, modules, aggregated data (arrays, lists, etc.)",TODO,0,,3.1.6;3.1.7
23,22,Criterion,LC,2,Planned,Pass,LO3,Programming Constructs; Syntax,3.1.0,"LO3.1: Implement standard programming constructs such as flow control, iteration, selection, functions, object-oriented programming and data structures - as appropriate - to achieve the project goals.",TODO,0,,3.1.6;3.1.7
24,23,Criterion,LC,3,Planned,Pass,LO3,Programming Constructs; Syntax,3.1.1,LO3.1.1: Implement standard programming constructs  such a flow control,TODO,0,,3.1.6;3.1.7
25,24,Criterion,LC,3,Planned,Pass,LO3,Programming Constructs; Syntax,3.1.2,LO3.1.2: Implement standard programming constructs  such a iteration,TODO,0,,3.1.6;3.1.7
26,25,Criterion,LC,3,Planned,Pass,LO3,Programming Constructs; Syntax,3.1.3,LO3.1.3: Implement standard programming constructs  such a selection functions,TODO,0,,3.1.6;3.1.7
